Compounds,first component,second component,third component
Ag10O13Si4,-0.920012882851,-0.00268881901528,0.349501935121
Ag11K1O16V4,-0.750547869601,-0.0494456857004,-0.22874003742
Ag13As3I4O12,-0.43157655725,1.01082197164,-0.00439602054316
Ag15Cl3P4S16,-0.329758375057,0.944675385123,-0.19325223411
Ag16Ca6N1,3.95577667659,-0.911469271068,-1.54327809217
Ag17Mg54,2.20377576341,-2.81075026747,-2.04621464172
Ag18Bi4O12,0.744343704058,0.648408454454,-0.429535288161
Ag18K4Te11,3.15248177389,0.990621618084,-0.94652640427
Ag18O21Si6,-0.710925394608,0.00583001555926,0.251984720738
Ag1Al1Cs1F6,-3.75227584062,1.42888110021,0.465825914873
Ag1Al1Li2,1.9361416293,-2.65113424716,-2.56112507696
Ag1Al1O2,-1.45384037894,-0.174379761997,-0.00675794364009
Ag1Al1S2,-0.318579513914,0.324690399074,-0.0359082595568
Ag1Al1Se2,0.761295203805,1.25852538324,0.0310187504154
Ag1Al1Te2,1.68341819738,1.51651578574,0.288722014096
Ag1Al2Pr1,3.01654815541,-1.0260761577,-0.742042451735
Ag1As1Ba1,3.40896998651,0.341260001244,-0.907443708289
Ag1As1Ca1,2.828210419,-0.518144694004,-0.778427508532
Ag1As1Cs2S4,0.364929062501,1.12082100366,-1.20481976221
Ag1As1Eu1,3.11757048601,0.425186868629,-0.674972928298
Ag1As1F6N4O2S6,-4.62754480111,1.23537393807,0.741838465453
Ag1As1F6S16,-4.03593146924,1.80307656746,0.842573288118
Ag1As1F6Se3,-4.06385183203,2.409919274,1.24177864456
Ag1As1F7,-5.35914366367,2.01890464031,1.50595521771
Ag1As1Hg1S3,-0.391945564372,1.58771551785,0.0422395911261
Ag1As1Hg2O4,-1.4590020137,1.30368331061,-0.07082059664
Ag1As1K2,3.0995701436,-0.725356073227,-2.69502405382
Ag1As1Mg1,2.11617559076,-0.810495371993,-0.688715560392
Ag1As1Na2,2.41969802675,-1.34519531088,-2.44778430158
Ag1As1O3,-2.48777712085,0.671346502715,0.403443563832
Ag1As1Pb1S3,-0.372652597659,1.66342806316,0.227677238299
Ag1As1S1,0.466828415971,0.969987800506,0.256989621503
Ag1As1S2,-0.528354395775,1.15763961019,0.32666059852
Ag1As1Se1,1.18674489445,1.59254445662,0.301607628149
Ag1As1Se2,0.551520321943,2.09147459435,0.393587608492
Ag1As1Sr1,3.00108725211,-0.00354970870641,-0.875369565662
Ag1As2Ce1,2.58119517871,0.68061993061,-0.0600182040669
Ag1As2Gd1,2.63251781081,0.647946335998,0.108510552718
Ag1As2La1,2.61528172146,0.673549217706,-0.0464497925212
Ag1As2Nd1,2.5832463895,0.648241058887,-0.0213569121692
Ag1As2Pr1,2.59699839168,0.639822264528,-0.0169047355819
Ag1As2Sm1,2.50062828141,0.68204650662,-0.0663866591063
