,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
22,261365,ABCX4,"(La,K)2CuO4",0.05,129,tetragonal,P,14.0,14.0,14.0,14.0,badcount_n,po_n,undet_n,ct_n,298,noPress,tP14,f_c5,i,4,K1_La1_O4_Ti1,4,K+1,La+3,O-2,Ti+4,,,
23,82003,ABCX4,"(La,K)2CuO4",0.016,129,tetragonal,P,14.0,14.0,14.0,14.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,tP14,f_c5,i,4,La1_Na1_O4_Ti1,4,La+3,Na+1,O-2,Ti+4,,,
24,422049,ABCX4,"(La,K)2CuO4",0.0135,129,tetragonal,P,14.0,14.0,14.0,14.0,badcount_n,po_n,undet_n,ct_n,293,noPress,tP14,f_c5,i,4,Na1_Nd1_O4_Ti1,4,Na+1,Nd+3,O-2,Ti+4,,,
25,422048,ABCX4,"(La,K)2CuO4",0.031,129,tetragonal,P,14.0,14.0,14.0,14.0,badcount_n,po_n,undet_n,ct_n,293,noPress,tP14,f_c5,i,4,Na1_O4_Pr1_Ti1,4,Na+1,O-2,Pr+3,Ti+4,,,
26,82005,ABCX4,"(La,K)2CuO4",0.024,129,tetragonal,P,14.0,14.0,14.0,14.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,tP14,f_c5,i,4,Na1_O4_Sm1_Ti1,4,Na+1,O-2,Sm+3,Ti+4,,,
27,78720,ABCX4,"(La,Sr)2CuO4(oP28)",0.076,57,orthorhombic,P,28.0,28.0,28.0,28.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP28,d5_c2,i,4,Ag1_Eu1_O4_Ti1,4,Ag+1,Eu+3,O-2,Ti+4,,,
28,79229,ABCX4,"(La,Sr)2CuO4(oP28)",0.02,57,orthorhombic,P,28.0,28.0,28.0,28.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP28,d5_c2,i,4,Eu1_Na1_O4_Ti1,4,Eu+3,Na+1,O-2,Ti+4,,,
29,81537,ABCX4,"(La,Sr)2CuO4(oP28)",0.017,57,orthorhombic,P,28.0,28.0,28.0,28.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP28,d5_c2,i,4,Gd1_Na1_O4_Ti1,4,Gd+3,Na+1,O-2,Ti+4,,,
30,81538,ABCX4,"(La,Sr)2CuO4(oP28)",0.023,57,orthorhombic,P,28.0,28.0,28.0,28.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP28,d5_c2,i,4,Na1_O4_Ti1_Y1,4,Na+1,O-2,Ti+4,Y+3,,,
31,158609,A2B7X14,(Mg2SiO4)2(Mg(OH)2)3,0.0234,173,hexagonal,P,58.0,58.0,58.0,58.0,badcount_n,po_n,undet_n,ct_n,noTemp,3200,hP58,c6_b3_a2,i,4,D6_Mg7_O14_Si2,4,D+1,Mg+2,O-2,Si+4,,,
32,15532,A10NO2P2X10,(Mn(CO)5)2SnCl2,0.03,14,monoclinic,P,100.0,100.0,100.0,100.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP100,e25,0,5,C10_Br2_Ge1_O10_W2,5,Br+0,C+2,Ge+0,O-2,W+0,,
33,61373,AB2X5,"(Mn,Fe)2PO4F",0.027000000000000003,15,monoclinic,I,32.0,64.0,64.0,64.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS64,f8,i,3,Dy2_Ge1_O5,3,Dy+3,Ge+4,O-2,,,,
34,262405,AB2X5,"(Mn,Fe)2PO4F",0.0413,15,monoclinic,C,32.0,64.0,64.0,64.0,badcount_n,po_n,undet_n,ct_n,293,noPress,mS64,f8,i,3,Dy2_O5_V1,3,Dy+3,O-2,V+4,,,,
35,419309,AB2X5,"(Mn,Fe)2PO4F",0.0357,15,monoclinic,C,32.0,64.0,64.0,64.0,badcount_n,po_n,undet_n,ct_n,298,noPress,mS64,f8,i,3,Er2_O5_Si1,3,Er+3,O-2,Si+4,,,,
36,260425,AB2X5,"(Mn,Fe)2PO4F",0.053,15,monoclinic,I,32.0,64.0,64.0,64.0,badcount_n,po_n,undet_n,ct_n,300,noPress,mS64,f8,i,3,Ge1_O5_Y2,3,Ge+4,O-2,Y+3,,,,
37,279584,AB2X5,"(Mn,Fe)2PO4F",0.035,15,monoclinic,C,32.0,64.0,64.0,64.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS64,f8,i,3,Lu2_O5_Si1,3,Lu+3,O-2,Si+4,,,,
38,291362,AB2X5,"(Mn,Fe)2PO4F",0.019,15,monoclinic,I,32.0,64.0,64.0,64.0,badcount_n,po_n,undet_n,ct_n,15,noPress,mS64,f8,i,3,O5_Si1_Y2,3,O-2,Si+4,Y+3,,,,
39,4446,AB2X5,"(Mn,Fe)2PO4F",0.054000000000000006,15,monoclinic,B,32.0,64.0,64.0,64.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS64,f8,i,3,O5_Si1_Yb2,3,O-2,Si+4,Yb+3,,,,
40,262406,AB2X5,"(Mn,Fe)2PO4F",0.0607,15,monoclinic,C,32.0,64.0,64.0,64.0,badcount_n,po_n,undet_n,ct_n,293,noPress,mS64,f8,i,3,O5_V1_Yb2,3,O-2,V+4,Yb+3,,,,
41,72639,A5X14,"(Mo,W)5O14",,14,monoclinic,P,76.0,76.0,76.0,76.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP76,e19,f,2,Mo5_O14,2,Mo+5.6,O-2,,,,,
