Compound,formula,Z,Period,Group,m,kai,EA,Nval,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
Br2Ca,CaBr2,30,4,12,66.62666667,2.306666667,2.243333333,0,9.913586667,18.35124,2.003333333,1.36,549.0166667,807.0166667,0.531666667,59.103,2.596666667,6.713333333,61.37333333,0.670813333
CaCl2,CaCl2,18,3.333333333,12,36.99333333,2.44,2.411333333,0,10.68280667,19.83297333,1.936666667,1.246666667,486.15,745.1233333,0.535,31.27566667,2.659333333,4.98,58.35666667,0.670059333
CaF2,CaF2,12.66666667,2.666666667,12,26.02666667,2.986666667,2.266,0,13.65292,27.27110667,1.75,0.98,407.37,642.41,0.765,29.51233333,1.647333333,3.02,53.73653333,0.670186
CaGa2O4,CaGa2O4,16.28571429,2.857142857,13.14285714,34.78857143,2.625714286,0.920640857,0,10.36913743,27.62663143,1.732857143,0.965714286,276.9170286,1017.457429,0.723571429,27.92871429,2.724857143,2.944,97.2048,0.403295657
CaGa2S4,CaGa2S4,20.85714286,3.428571429,13.14285714,43.97142857,2.134285714,1.27264,0,8.507400286,20.89336286,1.892857143,1.194285714,467.7741714,1376.07,0.603571429,24.11271429,3.028285714,3.805714286,100.97,0.40468
CaGa2Se4,CaGa2Se4,31.14285714,4,13.14285714,70.76571429,2.117142857,1.24,0,8.160188857,19.66600286,1.95,1.274285714,528.1113143,1513.435714,0.382428571,25.63442857,4.662,5.902857143,110.2957143,0.4148
CaGa2Te4,CaGa2Te4,41.42857143,4.571428571,13.14285714,98.56,1.86,1.211885714,0,7.735737429,18.18600286,2.041428571,1.382857143,658.8027429,1686.578571,0.314428571,25.84414286,5.474,12.81714286,124.1871429,0.416571429
CaI2,CaI2,42,4.666666667,12,97.96,2.106666667,2.0394,0,9.005226667,16.71144,2.09,1.486666667,629.6166667,890.75,0.358333333,44.92966667,3.81,8.02,65.49,0.672993333
CaIn2O4,CaIn2O4,21.42857143,3.142857143,13.14285714,47.66857143,2.617142857,0.920640857,0,10.30829714,27.15667429,1.75,1.02,313.1557143,959.7431429,0.683571429,28.13157143,3.126571429,2.278285714,88.71622857,0.520438514
CaIn2S4,CaIn2S4,26,3.714285714,13.14285714,56.85142857,2.125714286,1.27264,0,8.44656,20.42340571,1.91,1.248571429,504.0128571,1318.355714,0.563571429,24.31557143,3.43,3.14,92.48142857,0.521822857
CaIn2Se4,CaIn2Se4,36.28571429,4.285714286,13.14285714,83.64571429,2.108571429,1.24,0,8.099348571,19.19604571,1.967142857,1.328571429,564.35,1455.721429,0.342428571,25.83728571,5.063714286,5.237142857,101.8071429,0.531942857
CaIn2Te4,CaIn2Te4,46.57142857,4.857142857,13.14285714,111.44,1.851428571,1.211885714,0,7.674897143,17.71604571,2.058571429,1.437142857,695.0414286,1628.864286,0.274428571,26.047,5.875714286,12.15142857,115.6985714,0.533714286
CaLa2O4,CaLa2O4,23.71428571,3.428571429,10.28571429,54.55428571,2.422857143,0.977783714,0,10.24845143,24.92487429,1.892857143,1.168571429,531.27,1370.314571,0.672714286,28.23728571,2.794,3.118285714,138.2076571,0.325867086
CaLa2S4,CaLa2S4,28.28571429,4,10.28571429,63.73714286,1.931428571,1.329782857,0,8.386714286,18.19160571,2.052857143,1.397142857,722.1271429,1728.927143,0.552714286,24.42128571,3.097428571,3.98,141.9728571,0.327251429
CaLa2Se4,CaLa2Se4,38.57142857,4.571428571,10.28571429,90.53142857,1.914285714,1.297142857,0,8.039502857,16.96424571,2.11,1.477142857,782.4642857,1866.292857,0.331571429,25.943,4.731142857,6.077142857,151.2985714,0.337371429
CaLa2Te4,CaLa2Te4,48.85714286,5.142857143,10.28571429,118.3257143,1.657142857,1.269028571,0,7.615051429,15.48424571,2.201428571,1.585714286,913.1557143,2039.435714,0.263571429,26.15271429,5.543142857,12.99142857,165.19,0.339142857
CaO,CaO,14,3,9,28.04,2.22,0.73056075,0,9.865605,23.49641,1.915,1.19,584.755,923.669,0.7825,27.6535,1.4895,4.381,79.04045,1.0051337
CaS,CaS,18,3.5,9,36.075,1.79,1.03856,0,8.236585,17.6048,2.055,1.39,751.755,1237.455,0.6775,24.3145,1.755,5.135,82.335,1.006345
CaO4Sc2,CaSc2O4,13.42857143,2.857142857,10.28571429,27.71428571,2.497142857,0.888640857,0,10.52976286,25.42223714,1.812857143,1.068571429,708.6985714,1190.886,0.779285714,27.783,1.890857143,5.918285714,111.1305143,0.332438514
CaS4Sc2,CaSc2S4,18,3.428571429,10.28571429,36.89714286,2.005714286,1.24064,0,8.668025714,18.68896857,1.972857143,1.297142857,899.5557143,1549.498571,0.659285714,23.967,2.194285714,6.78,114.8957143,0.333822857
