Compound,formula,Z,Period,Group,m,kai,EA,Nval,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
CsCaP,CsCaP,30,4.333333333,6,67.98333333,1.326666667,0.406043333,0,6.831251667,18.26622,2.513333333,1.736666667,578.0333333,1084.983333,0.552666667,27.321,1.750666667,3.756666667,78.27,0.79045
CaCsSb,CsCaSb,42,5,6,98.26,1.28,0.513876667,0,6.205151667,17.21972,2.6,1.84,773.526,1520.483333,0.365333333,27.78966667,3.375333333,10.11,96.79333333,0.870666667
AsCdCs,CsCdAs,45.33333333,5,9.333333333,106.74,1.553333333,0.42721,0,7.558775,19.55165,2.486666667,1.66,662.0063333,957.8166667,0.267333333,27.62333333,5.418666667,12.03,66.67,0.609666667
Br3CdCs,CsCdBr3,41.6,4.6,12.8,97,2.272,2.113326,0,9.665825,20.96775,2.232,1.458,338.7438,596.03,0.379,57.06,3.9778,5.158,42.357,0.266132
CdCl3Cs,CsCdCl3,30.8,4,12.8,70.33,2.392,2.264526,0,10.358123,22.30131,2.172,1.356,282.1638,540.326,0.382,32.0154,4.0342,3.598,39.642,0.2654534
CdCsF3,CsCdF3,26,3.4,12.8,60.46,2.884,2.133726,0,13.031225,28.99563,2.004,1.116,211.2618,447.884,0.589,30.4284,3.1234,1.834,35.48388,0.2655674
CdCsI3,CsCdI3,52.4,5.2,12.8,125.2,2.092,1.929786,0,8.848301,19.49193,2.31,1.572,411.2838,671.39,0.223,44.304,5.0698,6.334,46.062,0.268094
CdCsN,CsCdN,36.66666667,4.333333333,9.333333333,86.43666667,1.84,0.133876667,0,9.140608333,23.22235,2.386666667,1.496666667,319.673,687.2183333,0.504333333,29.118,3.926666667,2.916666667,56.80093333,0.442419933
CdCsP,CsCdP,39.33333333,4.666666667,9.333333333,92.09,1.556666667,0.406043333,0,7.791471667,19.94508333,2.47,1.623333333,404.3896667,845.9833333,0.414,27.35133333,4.117333333,3.01,60.00333333,0.443116667
CdCsSb,CsCdSb,51.33333333,5.333333333,9.333333333,122.3666667,1.51,0.513876667,0,7.165371667,18.89858333,2.556666667,1.726666667,599.8823333,1281.483333,0.226666667,27.82,5.742,9.363333333,78.52666667,0.523333333
ClCs,CsCl,36,4.5,9,84.175,1.975,2.044315,0,8.4307675,23.48552,2.59,1.69,236.65,591.63,0.3605,33.0795,2.5465,2.645,38.97,0.1795445
CsF,CsF,32,4,9,75.95,2.385,1.935315,0,10.6583525,29.06412,2.45,1.49,177.565,514.595,0.533,31.757,1.7875,1.175,35.5049,0.1796395
AsCsHg,CsHgAs,56,5.333333333,9.333333333,136.14,1.623333333,0.42721,0,8.040001667,20.16781333,2.503333333,1.633333333,542.0403333,821.023,0.237,28.27766667,7.046666667,10.69333333,53.14666667,0.3148
Br3CsHg,CsHgBr3,48,4.8,12.8,114.64,2.314,2.113326,0,9.954561,21.337448,2.242,1.442,266.7642,513.9538,0.3608,57.4526,4.9546,4.356,34.243,0.089212
Cl3CsHg,CsHgCl3,37.2,4.2,12.8,87.97,2.434,2.264526,0,10.646859,22.671008,2.182,1.34,210.1842,458.2498,0.3638,32.408,5.011,2.796,31.528,0.0885334
CsF3Hg,CsHgF3,32.4,3.6,12.8,78.1,2.926,2.133726,0,13.319961,29.365328,2.014,1.1,139.2822,365.8078,0.5708,30.821,4.1002,1.032,27.36988,0.0886474
CsHgI3,CsHgI3,58.8,5.4,12.8,142.84,2.134,1.929786,0,9.137037,19.861628,2.32,1.556,339.3042,589.3138,0.2048,44.6966,6.0466,5.532,37.948,0.091174
CsHgN,CsHgN,47.33333333,4.666666667,9.333333333,115.8366667,1.91,0.133876667,0,9.621835,23.83851333,2.403333333,1.47,199.707,550.4246667,0.474,29.77233333,5.554666667,1.58,43.2776,0.147553267
CsHgP,CsHgP,50,5,9.333333333,121.49,1.626666667,0.406043333,0,8.272698333,20.56124667,2.486666667,1.596666667,284.4236667,709.1896667,0.383666667,28.00566667,5.745333333,1.673333333,46.48,0.14825
CsHgSb,CsHgSb,62,5.666666667,9.333333333,151.7666667,1.58,0.513876667,0,7.646598333,19.51474667,2.573333333,1.7,479.9163333,1144.689667,0.196333333,28.47433333,7.37,8.026666667,65.00333333,0.228466667
CsI,CsI,54,5.5,9,129.9,1.725,1.765365,0,7.1725825,21.14437,2.705,1.87,344.25,700.85,0.228,43.32,3.4095,4.925,44.32,0.181745
AsCsMg,CsMgAs,33.33333333,4.333333333,6,77.37666667,1.426666667,0.42721,0,7.10958,18.92730333,2.336666667,1.66,771.65,1065.483333,0.531333333,27.23966667,3.114666667,12.83,75.91333333,0.807
Br3CsMg,CsMgBr3,34.4,4.2,10.8,79.382,2.196,2.113326,0,9.396308,20.593142,2.142,1.458,404.53,660.63,0.5374,56.8298,2.5954,5.638,47.903,0.384532
Cl3CsMg,CsMgCl3,23.6,3.6,10.8,52.712,2.316,2.264526,0,10.088606,21.926702,2.082,1.356,347.95,604.926,0.5404,31.7852,2.6518,4.078,45.188,0.3838534
CsF3Mg,CsMgF3,18.8,3,10.8,42.842,2.808,2.133726,0,12.761708,28.621022,1.914,1.116,277.048,512.484,0.7474,30.1982,1.741,2.314,41.02988,0.3839674
CsI3Mg,CsMgI3,45.2,4.8,10.8,107.582,2.016,1.929786,0,8.578784,19.117322,2.22,1.572,477.07,735.99,0.3814,44.0738,3.6874,6.814,51.608,0.386494
CsMgN,CsMgN,24.66666667,3.666666667,6,57.07333333,1.713333333,0.133876667,0,8.691413333,22.59800333,2.236666667,1.496666667,429.3166667,794.885,0.768333333,28.73433333,1.622666667,3.716666667,66.04426667,0.639753267
CsMgP,CsMgP,27.33333333,4,6,62.72666667,1.43,0.406043333,0,7.342276667,19.32073667,2.32,1.623333333,514.0333333,953.65,0.678,26.96766667,1.813333333,3.81,69.24666667,0.64045
CsMgSb,CsMgSb,39.33333333,4.666666667,6,93.00333333,1.383333333,0.513876667,0,6.716176667,18.27423667,2.406666667,1.726666667,709.526,1389.15,0.490666667,27.43633333,3.438,10.16333333,87.77,0.720666667
AsCsSr,CsSrAs,42,5,6,98.48,1.306666667,0.42721,0,6.459118333,17.59224667,2.59,1.826666667,813.9833333,1161.15,0.292333333,27.88,3.412,12.59666667,79.01333333,0.404666667
Br3CsSr,CsSrBr3,39.6,4.6,10.8,92.044,2.124,2.113326,0,9.006031,19.792108,2.294,1.558,429.93,718.03,0.394,57.214,2.7738,5.498,49.763,0.143132
Cl3CsSr,CsSrCl3,28.8,4,10.8,65.374,2.244,2.264526,0,9.698329,21.125668,2.234,1.456,373.35,662.326,0.397,32.1694,2.8302,3.938,47.048,0.1424534
CsF3Sr,CsSrF3,24,3.4,10.8,55.504,2.736,2.133726,0,12.371431,27.819988,2.066,1.216,302.448,569.884,0.604,30.5824,1.9194,2.174,42.88988,0.1425674
CsI3Sr,CsSrI3,50.4,5.2,10.8,120.244,1.944,1.929786,0,8.188507,18.316288,2.372,1.672,502.47,793.39,0.238,44.458,3.8658,6.674,53.468,0.145094
CsNSr,CsSrN,33.33333333,4.333333333,6,78.17666667,1.593333333,0.133876667,0,8.040951667,21.26294667,2.49,1.663333333,471.65,890.5516667,0.529333333,29.37466667,1.92,3.483333333,69.14426667,0.237419933
CsPSr,CsSrP,36,4.666666667,6,83.83,1.31,0.406043333,0,6.691815,17.98568,2.573333333,1.79,556.3666667,1049.316667,0.439,27.608,2.110666667,3.576666667,72.34666667,0.238116667
CsSbSr,CsSrSb,48,5.333333333,6,114.1066667,1.263333333,0.513876667,0,6.065715,16.93918,2.66,1.893333333,751.8593333,1484.816667,0.251666667,28.07666667,3.735333333,9.93,90.87,0.318333333
AsCsZn,CsZnAs,39.33333333,4.666666667,9.333333333,91.07,1.54,0.42721,0,7.692234667,19.90367667,2.43,1.593333333,694.8256667,1004.483333,0.319666667,27.41333333,4.915333333,12.38,71.81333333,0.673666667
Br3CsZn,CsZnBr3,38,4.4,12.8,87.598,2.264,2.113326,0,9.7459008,21.178966,2.198,1.418,358.4354,624.03,0.4104,56.934,3.6758,5.368,45.443,0.304532
Cl3CsZn,CsZnCl3,27.2,3.8,12.8,60.928,2.384,2.264526,0,10.4381988,22.512526,2.138,1.316,301.8554,568.326,0.4134,31.8894,3.7322,3.808,42.728,0.3038534
CsF3Zn,CsZnF3,22.4,3.2,12.8,51.058,2.876,2.133726,0,13.1113008,29.206846,1.97,1.076,230.9534,475.884,0.6204,30.3024,2.8214,2.044,38.56988,0.3039674
CsI3Zn,CsZnI3,48.8,5,12.8,115.798,2.084,1.929786,0,8.9283768,19.703146,2.276,1.532,430.9754,699.39,0.2544,44.178,4.7678,6.544,49.148,0.306494
CsNZn,CsZnN,30.66666667,4,9.333333333,70.76666667,1.826666667,0.133876667,0,9.274068,23.57437667,2.33,1.43,352.4923333,733.885,0.556666667,28.908,3.423333333,3.266666667,61.94426667,0.506419933
CsPZn,CsZnP,33.33333333,4.333333333,9.333333333,76.42,1.543333333,0.406043333,0,7.924931333,20.29711,2.413333333,1.556666667,437.209,892.65,0.466333333,27.14133333,3.614,3.36,65.14666667,0.507116667
CsSbZn,CsZnSb,45.33333333,5,9.333333333,106.6966667,1.496666667,0.513876667,0,7.298831333,19.25061,2.5,1.66,632.7016667,1328.15,0.279,27.61,5.238666667,9.713333333,83.67,0.587333333
Ga2O3,Ga2O3,17.2,2.8,14.8,37.488,2.788,0.9966729,0,10.5705504,29.27872,1.66,0.876,153.78184,1054.9728,0.7,28.0388,3.219,2.3692,104.47054,0.16256044
Ga2S3,Ga2S3,22,3.4,14.8,47.13,2.272,1.366272,0,8.6157264,22.208788,1.828,1.116,354.18184,1431.516,0.574,24.032,3.5376,3.274,108.424,0.164014
Ga2Se3,Ga2Se3,32.8,4,14.8,75.264,2.254,1.332,0,8.2511544,20.92006,1.888,1.2,417.53584,1575.75,0.3418,25.6298,5.253,5.476,118.216,0.17464
Ga2Te3,Ga2Te3,43.6,4.6,14.8,104.448,1.984,1.30248,0,7.8054804,19.36606,1.984,1.314,554.76184,1757.55,0.2704,25.85,6.1056,12.736,132.802,0.1765
AsGa,GaAs,32,4,14,72.32,1.995,0.555,0,7.8939505,19.552175,1.86,1.215,696.5323,1695.65,0.351,25.335,5.8155,16.645,144.23,0.454
Br3Ga,GaBr3,34,4,16,77.355,2.6725,2.59875,0,10.36017525,21.3220375,1.855,1.185,275.19115,874.5,0.44875,63.275,3.816,5.7475,75.05875,0.102415
Cl3Ga,GaCl3,20.5,3.25,16,44.0175,2.8225,2.78775,0,11.22554775,22.9889875,1.78,1.0575,204.46615,804.87,0.4525,31.96925,3.8865,3.7975,71.665,0.10156675
F3Ga,GaF3,14.5,2.5,16,31.68,3.4375,2.62425,0,14.56692525,31.3568875,1.57,0.7575,115.83865,689.3175,0.71125,29.9855,2.748,1.5925,66.46735,0.10170925
GaI3,GaI3,47.5,4.75,16,112.605,2.4475,2.369325,0,9.33827025,19.4772625,1.9525,1.3275,365.86615,968.7,0.25375,47.33,5.181,7.2175,79.69,0.1048675
GaN,GaN,19,3,14,41.865,2.425,0.115,0,10.2667005,25.058225,1.71,0.97,183.0323,1289.7525,0.7065,27.577,3.5775,2.975,129.4264,0.2031299
GaP,GaP,23,3.5,14,50.345,2,0.52325,0,8.2429955,20.142325,1.835,1.16,310.1073,1527.9,0.571,24.927,3.8635,3.115,134.23,0.204175
GaSb,GaSb,41,4.5,14,95.76,1.93,0.685,0,7.3038455,18.572575,1.965,1.315,603.3463,2181.15,0.29,25.63,6.3005,12.645,162.015,0.3245
As2Hg3,Hg3As2,61.2,5.2,13.2,150.328,2.012,0.324,0,10.17794,18.68976,2.078,1.272,576.6526,733.5214,0.2156,26.6458,10.4112,12.454,48.54,0.25084
Hg3N2,Hg3N2,50.8,4.4,13.2,125.964,2.356,-0.028,0,12.07614,23.0946,1.958,1.076,165.8526,408.8034,0.5,28.4394,8.6208,1.518,36.69712,0.05014392
Hg3P2,Hg3P2,54,4.8,13.2,132.748,2.016,0.2986,0,10.457176,19.16188,2.058,1.228,267.5126,599.3214,0.3916,26.3194,8.8496,1.63,40.54,0.05098
Hg3Sb2,Hg3Sb2,68.4,5.6,13.2,169.08,1.96,0.428,0,9.705856,17.90608,2.162,1.352,502.1038,1121.9214,0.1668,26.8818,10.7992,9.254,62.768,0.14724
Al2HgO4,HgAl2O4,19.71428571,2.857142857,14.57142857,45.50857143,2.697142857,0.960926571,0,10.98303371,28.12832857,1.712857143,0.908571429,331.2438571,939.2601429,0.800857143,27.69928571,3.521428571,3.511142857,93.50622857,0.689209943
Al2HgS4,HgAl2S4,24.28571429,3.428571429,14.57142857,54.69142857,2.205714286,1.312925714,0,9.121296571,21.39506,1.872857143,1.137142857,522.101,1297.872714,0.680857143,23.88328571,3.824857143,4.372857143,97.27142857,0.690594286
Al2HgSe4,HgAl2Se4,34.57142857,4,14.57142857,81.48571429,2.188571429,1.280285714,0,8.774085143,20.1677,1.93,1.217142857,582.4381429,1435.238429,0.459714286,25.405,5.458571429,6.47,106.5971429,0.700714286
Al2HgTe4,HgAl2Te4,44.85714286,4.571428571,14.57142857,109.28,1.931428571,1.252171429,0,8.349633714,18.6877,2.021428571,1.325714286,713.1295714,1608.381286,0.391714286,25.61471429,6.270571429,13.38428571,120.4885714,0.702485714
Br2Hg,HgBr2,50,4.666666667,15.33333333,120.1333333,2.606666667,2.243333333,0,11.35503333,20.64626667,1.976666667,1.22,255.407,431.223,0.362666667,59.78766667,6.591333333,4.63,29.58333333,0.028613333
Cl2Hg,HgCl2,38,4,15.33333333,90.5,2.74,2.411333333,0,12.12425333,22.128,1.91,1.106666667,192.5403333,369.3296667,0.366,31.96033333,6.654,2.896666667,26.56666667,0.027859333
F2Hg,HgF2,32.66666667,3.333333333,15.33333333,79.53333333,3.286666667,2.266,0,15.09436667,29.56613333,1.723333333,0.84,113.7603333,266.6163333,0.596,30.197,5.642,0.936666667,21.94653333,0.027986
Ga2HgO4,HgGa2O4,24.85714286,3.142857143,14.57142857,57.72,2.754285714,0.920640857,0,10.98690029,28.61021429,1.721428571,0.905714286,151.0843143,856.403,0.651142857,28.22214286,4.436857143,2.051142857,83.58051429,0.128067086
Ga2HgS4,HgGa2S4,29.42857143,3.714285714,14.57142857,66.90285714,2.262857143,1.27264,0,9.125163143,21.87694571,1.881428571,1.134285714,341.9414571,1215.015571,0.531142857,24.40614286,4.740285714,2.912857143,87.34571429,0.129451429
Ga2HgSe4,HgGa2Se4,39.71428571,4.285714286,14.57142857,93.69714286,2.245714286,1.24,0,8.777951714,20.64958571,1.938571429,1.214285714,402.2786,1352.381286,0.31,25.92785714,6.374,5.01,96.67142857,0.139571429
Ga2HgTe4,HgGa2Te4,50,4.857142857,14.57142857,121.4914286,1.988571429,1.211885714,0,8.353500286,19.16958571,2.03,1.322857143,532.9700286,1525.524143,0.242,26.13757143,7.186,11.92428571,110.5628571,0.141342857
HgI2,HgI2,62,5.333333333,15.33333333,151.4666667,2.406666667,2.0394,0,10.44667333,19.00646667,2.063333333,1.346666667,336.007,514.9563333,0.189333333,45.61433333,7.804666667,5.936666667,33.7,0.030793333
HgIn2O4,HgIn2O4,30,3.428571429,14.57142857,70.6,2.745714286,0.920640857,0,10.92606,28.14025714,1.738571429,0.96,187.323,798.6887143,0.611142857,28.425,4.838571429,1.385428571,75.09194286,0.245209943
HgIn2S4,HgIn2S4,34.57142857,4,14.57142857,79.78285714,2.254285714,1.27264,0,9.064322857,21.40698857,1.898571429,1.188571429,378.1801429,1157.301286,0.491142857,24.609,5.142,2.247142857,78.85714286,0.246594286
HgIn2Se4,HgIn2Se4,44.85714286,4.571428571,14.57142857,106.5771429,2.237142857,1.24,0,8.717111429,20.17962857,1.955714286,1.268571429,438.5172857,1294.667,0.27,26.13071429,6.775714286,4.344285714,88.18285714,0.256714286
HgIn2Te4,HgIn2Te4,55.14285714,5.142857143,14.57142857,134.3714286,1.98,1.211885714,0,8.29266,18.69962857,2.047142857,1.377142857,569.2087143,1467.809857,0.202,26.34042857,7.587714286,11.25857143,102.0742857,0.258485714
HgLa2O4,HgLa2O4,32.28571429,3.714285714,11.71428571,77.48571429,2.551428571,0.977783714,0,10.86621429,25.90845714,1.881428571,1.108571429,405.4372857,1209.260143,0.600285714,28.53071429,4.506,2.225428571,124.5833714,0.050638514
HgLa2S4,HgLa2S4,36.85714286,4.285714286,11.71428571,86.66857143,2.06,1.329782857,0,9.004477143,19.17518857,2.041428571,1.337142857,596.2944286,1567.872714,0.480285714,24.71471429,4.809428571,3.087142857,128.3485714,0.052022857
HgLa2Se4,HgLa2Se4,47.14285714,4.857142857,11.71428571,113.4628571,2.042857143,1.297142857,0,8.657265714,17.94782857,2.098571429,1.417142857,656.6315714,1705.238429,0.259142857,26.23642857,6.443142857,5.184285714,137.6742857,0.062142857
HgLa2Te4,HgLa2Te4,57.42857143,5.428571429,11.71428571,141.2571429,1.785714286,1.269028571,0,8.232814286,16.46782857,2.19,1.525714286,787.323,1878.381286,0.191142857,26.44614286,7.255142857,12.09857143,151.5657143,0.063914286
HgO,HgO,44,4,14,108.3,2.67,0.73056075,0,12.027775,26.93895,1.875,0.98,144.3405,359.9785,0.529,28.6805,7.4815,1.256,31.35545,0.0418337
HgS,HgS,48,4.5,14,116.335,2.24,1.03856,0,10.398755,21.04734,2.015,1.18,311.3405,673.7645,0.424,25.3415,7.747,2.01,34.65,0.043045
HgO4Sc2,HgSc2O4,22,3.142857143,11.71428571,50.64571429,2.625714286,0.888640857,0,11.14752571,26.40582,1.801428571,1.008571429,582.8658571,1029.831571,0.706857143,28.07642857,3.602857143,5.025428571,97.50622857,0.057209943
HgS4Sc2,HgSc2S4,26.57142857,3.714285714,11.71428571,59.82857143,2.134285714,1.24064,0,9.285788571,19.67255143,1.961428571,1.237142857,773.723,1388.444143,0.586857143,24.26042857,3.906285714,5.887142857,101.2714286,0.058594286
HgSc2Se4,HgSc2Se4,36.85714286,4.285714286,11.71428571,86.62285714,2.117142857,1.208,0,8.938577143,18.44519143,2.018571429,1.317142857,834.0601429,1525.809857,0.365714286,25.78214286,5.54,7.984285714,110.5971429,0.068714286
HgSc2Te4,HgSc2Te4,47.14285714,4.857142857,11.71428571,114.4171429,1.86,1.179885714,0,8.514125714,16.96519143,2.11,1.425714286,964.7515714,1698.952714,0.297714286,25.99185714,6.352,14.89857143,124.4885714,0.070485714
HgSe,HgSe,57,5,14,139.78,2.225,1.01,0,10.094945,19.9734,2.065,1.25,364.1355,793.9595,0.2305,26.673,9.1765,3.845,42.81,0.0519
HgTe,HgTe,66,5.5,14,164.1,2,0.9854,0,9.72355,18.6784,2.145,1.345,478.4905,945.4595,0.171,26.8565,9.887,9.895,54.965,0.05345
HgO4Y2,HgY2O4,27.14285714,3.428571429,11.71428571,63.20285714,2.585714286,0.922640857,0,11.04918571,26.24131429,1.85,1.057142857,577.4372857,1175.260143,0.629714286,28.365,4.027714286,3.711142857,114.2205143,0.061209943
HgS4Y2,HgY2S4,31.71428571,4,11.71428571,72.38571429,2.094285714,1.27464,0,9.187448571,19.50804571,2.01,1.285714286,768.2944286,1533.872714,0.509714286,24.549,4.331142857,4.572857143,117.9857143,0.062594286
HgSe4Y2,HgY2Se4,42,4.571428571,11.71428571,99.18,2.077142857,1.242,0,8.840237143,18.28068571,2.067142857,1.365714286,828.6315714,1671.238429,0.288571429,26.07071429,5.964857143,6.67,127.3114286,0.072714286
HgTe4Y2,HgY2Te4,52.28571429,5.142857143,11.71428571,126.9742857,1.82,1.213885714,0,8.415785714,16.80068571,2.158571429,1.474285714,959.323,1844.381286,0.220571429,26.28042857,6.776857143,13.58428571,141.2028571,0.074485714
In2O3,In2O3,24.4,3.2,14.8,55.52,2.776,0.9966729,0,10.485374,28.62078,1.684,0.952,204.516,974.1728,0.644,28.3228,3.7814,1.4372,92.58654,0.32656044
In2S3,In2S3,29.2,3.8,14.8,65.162,2.26,1.366272,0,8.53055,21.550848,1.852,1.192,404.916,1350.716,0.518,24.316,4.1,2.342,96.54,0.328014
In2Se3,In2Se3,40,4.4,14.8,93.296,2.242,1.332,0,8.165978,20.26212,1.912,1.276,468.27,1494.95,0.2858,25.9138,5.8154,4.544,106.332,0.33864
In2Te3,In2Te3,50.8,5,14.8,122.48,1.972,1.30248,0,7.720304,18.70812,2.008,1.39,605.496,1676.75,0.2144,26.134,6.668,11.804,120.918,0.3405
AsIn,InAs,41,4.5,14,94.86,1.98,0.555,0,7.78748,18.72975,1.89,1.31,759.95,1594.65,0.281,25.69,6.5185,15.48,129.375,0.659
Br3In,InBr3,38.5,4.25,16,88.625,2.665,2.59875,0,10.30694,20.910825,1.87,1.2325,306.9,824,0.41375,63.4525,4.1675,5.165,67.63125,0.204915
Cl3In,InCl3,25,3.5,16,55.2875,2.815,2.78775,0,11.1723125,22.577775,1.795,1.105,236.175,754.37,0.4175,32.14675,4.238,3.215,64.2375,0.20406675
F3In,InF3,19,2.75,16,42.95,3.43,2.62425,0,14.51369,30.945675,1.585,0.805,147.5475,638.8175,0.67625,30.163,3.0995,1.01,59.03985,0.20420925
I3In,InI3,52,5,16,123.875,2.44,2.369325,0,9.285035,19.06605,1.9675,1.375,397.575,918.2,0.21875,47.5075,5.5325,6.635,72.2625,0.2073675
InN,InN,28,3.5,14,64.405,2.41,0.115,0,10.16023,24.2358,1.74,1.065,246.45,1188.7525,0.6365,27.932,4.2805,1.81,114.5714,0.4081299
InP,InP,32,4,14,72.885,1.985,0.52325,0,8.136525,19.3199,1.865,1.255,373.525,1426.9,0.501,25.282,4.5665,1.95,119.375,0.409175
InSb,InSb,50,5,14,118.3,1.915,0.685,0,7.197375,17.75015,1.995,1.41,666.764,2080.15,0.22,25.985,7.0035,11.48,147.16,0.5295
AsK3,K3As,22.5,4,4.5,48.055,1.16,0.5786025,0,5.702647475,28.3698,2.525,1.8,525.025,996.4,0.65,28.36,2.07375,8.6725,65.775,0.8935
K3N,K3N,16,3.5,4.5,32.8275,1.375,0.3586025,0,6.889022475,31.122825,2.45,1.6775,268.275,793.45125,0.82775,29.481,0.95475,1.8375,58.3732,0.76806495
K3P,K3P,18,3.75,4.5,37.0675,1.1625,0.5627275,0,5.877169975,28.664875,2.5125,1.7725,331.8125,912.525,0.76,28.156,1.09775,1.9075,60.775,0.7685875
K3Sb,K3Sb,27,4.25,4.5,59.775,1.1275,0.6436025,0,5.407594975,27.88,2.5775,1.85,478.432,1239.15,0.6195,28.5075,2.31625,6.6725,74.6675,0.82875
AsBaK,KBaAs,36,4.666666667,6,83.77333333,1.296666667,0.437156667,0,6.446975767,20.07434333,2.426666667,1.753333333,808.9833333,1346.483333,0.43,27.43666667,3.364333333,12.67666667,83.16666667,0.57
BaBr3K,KBaBr3,36,4.4,10.8,83.22,2.118,2.119294,0,8.99874546,21.281366,2.196,1.514,426.93,829.23,0.4766,56.948,2.7452,5.546,52.255,0.242332
BaCl3K,KBaCl3,25.2,3.8,10.8,56.55,2.238,2.270494,0,9.69104346,22.614926,2.136,1.412,370.35,773.526,0.4796,31.9034,2.8016,3.986,49.54,0.2416534
BaF3K,KBaF3,20.4,3.2,10.8,46.68,2.73,2.139694,0,12.36414546,29.309246,1.968,1.172,299.448,681.084,0.6866,30.3164,1.8908,2.222,45.38188,0.2417674
BaI3K,KBaI3,46.8,5,10.8,111.42,1.938,1.935754,0,8.18122146,19.805546,2.274,1.628,499.47,904.59,0.3206,44.192,3.8372,6.722,55.96,0.244294
BaKN,KBaN,27.33333333,4,6,63.47,1.583333333,0.143823333,0,8.0288091,23.74504333,2.326666667,1.59,466.65,1075.885,0.667,28.93133333,1.872333333,3.563333333,73.2976,0.402753267
BaKP,KBaP,30,4.333333333,6,69.12333333,1.3,0.41599,0,6.679672433,20.46777667,2.41,1.716666667,551.3666667,1234.65,0.576666667,27.16466667,2.063,3.656666667,76.5,0.40345
BaKSb,KBaSb,42,5,6,99.4,1.253333333,0.523823333,0,6.053572433,19.42127667,2.496666667,1.82,746.8593333,1670.15,0.389333333,27.63333333,3.687666667,10.01,95.02333333,0.483666667
AsBeK,KBeAs,18.66666667,3.333333333,6,41.01066667,1.523333333,0.437156667,0,7.8173211,22.81011333,2.043333333,1.396666667,995.65,1554.15,0.970333333,23.561,2.810333333,12.66,135.4333333,1.178666667
BeBr3K,KBeBr3,25.6,3.6,10.8,57.5624,2.254,2.119294,0,9.82095266,22.922828,1.966,1.3,538.93,953.83,0.8008,54.6226,2.4128,5.536,83.615,0.607532
BeCl3K,KBeCl3,14.8,3,10.8,30.8924,2.374,2.270494,0,10.51325066,24.256388,1.906,1.198,482.35,898.126,0.8038,29.578,2.4692,3.976,80.9,0.6068534
BeF3K,KBeF3,10,2.4,10.8,21.0224,2.866,2.139694,0,13.18635266,30.950708,1.738,0.958,411.448,805.684,1.0108,27.991,1.5584,2.212,76.74188,0.6069674
BeI3K,KBeI3,36.4,4.2,10.8,85.7624,2.074,1.935754,0,9.00342866,21.447008,2.044,1.414,611.47,1029.19,0.6448,41.8666,3.5048,6.712,87.32,0.609494
BeKN,KBeN,10,2.666666667,6,20.70733333,1.81,0.143823333,0,9.399154433,26.48081333,1.943333333,1.233333333,653.3166667,1283.551667,1.207333333,25.05566667,1.318333333,3.546666667,125.5642667,1.011419933
BeKP,KBeP,12.66666667,3,6,26.36066667,1.526666667,0.41599,0,8.050017767,23.20354667,2.026666667,1.36,738.0333333,1442.316667,1.117,23.289,1.509,3.64,128.7666667,1.012116667
BeKSb,KBeSb,24.66666667,3.666666667,6,56.63733333,1.48,0.523823333,0,7.423917767,22.15704667,2.113333333,1.463333333,933.526,1877.816667,0.929666667,23.75766667,3.133666667,9.993333333,147.29,1.092333333
BrK,KBr,27,4,9,59.5,1.89,1.933235,0,8.07723165,26.6105,2.3,1.585,301.3,682.05,0.6155,52.645,1.988,4.065,45.8125,0.51261
AsCaK,KCaAs,24,4,6,51.36666667,1.333333333,0.437156667,0,6.747474433,20.69697333,2.303333333,1.646666667,847.3166667,1226.15,0.577666667,26.723,2.711,12.85666667,87.99,1.178666667
Br3CaK,KCaBr3,28.8,4,10.8,63.776,2.14,2.119294,0,9.17904466,21.654944,2.122,1.45,449.93,757.03,0.5652,56.5198,2.3532,5.654,55.149,0.607532
CaCl3K,KCaCl3,18,3.4,10.8,37.106,2.26,2.270494,0,9.87134266,22.988504,2.062,1.348,393.35,701.326,0.5682,31.4752,2.4096,4.094,52.434,0.6068534
CaF3K,KCaF3,13.2,2.8,10.8,27.236,2.752,2.139694,0,12.54444466,29.682824,1.894,1.108,322.448,608.884,0.7752,29.8882,1.4988,2.33,48.27588,0.6069674
CaI3K,KCaI3,39.6,4.6,10.8,91.976,1.96,1.935754,0,8.36152066,20.179124,2.2,1.564,522.47,832.39,0.4092,43.7638,3.4452,6.83,58.854,0.609494
CaKN,KCaN,15.33333333,3.333333333,6,31.06333333,1.62,0.143823333,0,8.329307767,24.36767333,2.203333333,1.483333333,504.9833333,955.5516667,0.814666667,28.21766667,1.219,3.743333333,78.12093333,1.011419933
CaKP,KCaP,18,3.666666667,6,36.71666667,1.336666667,0.41599,0,6.9801711,21.09040667,2.286666667,1.61,589.7,1114.316667,0.724333333,26.451,1.409666667,3.836666667,81.32333333,1.012116667
CaKSb,KCaSb,30,4.333333333,6,66.99333333,1.29,0.523823333,0,6.3540711,20.04390667,2.373333333,1.713333333,785.1926667,1549.816667,0.537,26.91966667,3.034333333,10.19,99.84666667,1.092333333
AsCdK,KCdAs,33.33333333,4.333333333,9.333333333,75.47333333,1.563333333,0.437156667,0,7.707694433,22.37583667,2.26,1.533333333,673.673,987.15,0.439,26.75333333,5.077666667,12.11,69.72333333,0.831333333
