name,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
Sr3N2,25.6,3.8,7.2,58.176,1.786,-0.028,9.23055,18.45858,2.114,1.424,655.35,1021.032,0.5996,27.7236,2.0784,4.944,83.25712,0.21190392
Sr3P2,28.8,4.2,7.2,64.96,1.446,0.2986,7.611586,14.52586,2.214,1.576,757.01,1211.55,0.4912,25.6036,2.3072,5.056,87.1,0.21274
Sr3Sb2,43.2,5.0,7.2,101.292,1.39,0.428,6.860266,13.27006,2.318,1.7,991.6012,1734.15,0.2664,26.166,4.2568,12.68,109.328,0.309
SrAl2O4,13.7142857143,2.71428571429,13.1428571429,29.3685714286,2.56142857143,0.960926571429,10.3055122857,27.0245142857,1.75,0.991428571429,447.790857143,1085.02885714,0.824571428571,27.5288571429,1.96371428571,4.32685714286,104.591942857,0.727724228571
SrBr2,36.0,4.33333333333,12.0,82.4733333333,2.29,2.24333333333,9.77415,18.0707,2.06333333333,1.41333333333,527.35,771.35,0.418,59.39,2.95666666667,6.53333333333,55.45,0.11848
SrCl2,24.0,3.66666666667,12.0,52.84,2.42333333333,2.41133333333,10.54337,19.5524333333,1.99666666667,1.3,464.483333333,709.456666667,0.421333333333,31.5626666667,3.01933333333,4.8,52.4333333333,0.117726
SrF2,18.6666666667,3.0,12.0,41.8733333333,2.97,2.266,13.5134833333,26.9905666667,1.81,1.03333333333,385.703333333,606.743333333,0.651333333333,29.7993333333,2.00733333333,2.84,47.8132,0.117852666667
SrI2,48.0,5.0,12.0,113.806666667,2.09,2.0394,8.86579,16.4309,2.15,1.54,607.95,855.083333333,0.244666666667,45.2166666667,4.17,7.84,59.5666666667,0.12066
SrIn2O4,24.0,3.28571428571,13.1428571429,54.46,2.61,0.920640857143,10.2485385714,27.0364428571,1.77571428571,1.04285714286,303.87,944.457428571,0.634857142857,28.2545714286,3.28085714286,2.20114285714,86.1776571429,0.283724228571
SrLa2O4,26.2857142857,3.57142857143,10.2857142857,61.3457142857,2.41571428571,0.977783714286,10.1886928571,24.8046428571,1.91857142857,1.19142857143,521.984285714,1355.02885714,0.624,28.3602857143,2.94828571429,3.04114285714,135.669085714,0.0891528
SrO,23.0,3.5,9.0,51.81,2.195,0.73056075,9.65645,23.0756,2.005,1.27,552.255,870.169,0.612,28.084,2.0295,4.111,70.15545,0.1766337
SrS,27.0,4.0,9.0,59.845,1.765,1.03856,8.02743,17.18399,2.145,1.47,719.255,1183.955,0.507,24.745,2.295,4.865,73.45,0.177845
