formula,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
LaAs,45.0,5.0,9.0,106.91,1.64,0.655,7.68275,14.8241,2.14,1.57,1141.65,2313.15,0.262,25.875,5.9365,16.95,215.985,0.3185
LaBr3,40.5,4.5,13.5,94.65,2.495,2.64875,10.254575,18.958,1.995,1.3625,497.75,1183.25,0.40425,63.545,3.8765,5.9,110.93625,0.034665
LaCl3,27.0,3.75,13.5,61.3125,2.645,2.83775,11.1199475,20.62495,1.92,1.235,427.025,1113.62,0.408,32.23925,3.947,3.95,107.5425,0.03381675
LaF3,21.0,3.0,13.5,48.975,3.26,2.67425,14.461325,28.99285,1.71,0.935,338.3975,998.0675,0.66675,30.2555,2.8085,1.745,102.34485,0.03395925
LaI3,54.0,5.25,13.5,129.9,2.27,2.419325,9.23267,17.113225,2.0925,1.505,588.425,1277.45,0.20925,47.6,5.2415,7.37,115.5675,0.0371175
LaN,32.0,4.0,9.0,76.455,2.07,0.215,10.0555,20.33015,1.99,1.325,628.15,1907.2525,0.6175,28.117,3.6985,3.28,201.1814,0.0676299
LaP,36.0,4.5,9.0,84.935,1.645,0.62325,8.031795,15.41425,2.115,1.515,755.225,2145.4,0.482,25.467,3.9845,3.42,205.985,0.068675
LaSb,54.0,5.5,9.0,130.35,1.575,0.785,7.092645,13.8445,2.245,1.67,1048.464,2798.65,0.201,26.17,6.4215,12.95,233.77,0.189
Li3As,10.5,2.5,4.5,23.93575,1.28,0.666,6.49093925,61.3773,1.8275,1.275,612.775,1433.65,2.76875,24.805,1.833,9.175,118.425,0.76075
Li3N,4.0,2.0,4.5,8.70825,1.495,0.446,7.67731425,64.130325,1.7525,1.1525,356.025,1230.70125,2.9465,25.926,0.714,2.34,111.0232,0.63531495
Li3P,6.0,2.25,4.5,12.94825,1.2825,0.650125,6.66546175,61.672375,1.815,1.2475,419.5625,1349.775,2.87875,24.601,0.857,2.41,113.425,0.6358375
Li3Sb,15.0,2.75,4.5,35.65575,1.2475,0.731,6.19588675,60.8875,1.88,1.325,566.182,1676.4,2.73825,24.9525,2.0755,7.175,127.3175,0.696
LiBaAs,30.6666666667,4.0,6.0,73.0536666667,1.35,0.476,6.79732766667,34.7443433333,2.11666666667,1.52,847.983333333,1540.81666667,1.37166666667,25.8566666667,3.25733333333,12.9,106.566666667,0.511
LiBaBr3,32.8,4.0,10.8,76.7882,2.15,2.1426,9.2089566,30.083366,2.01,1.374,450.33,945.83,1.0416,56.0,2.681,5.68,66.295,0.206932
LiBaCl3,22.0,3.4,10.8,50.1182,2.27,2.2938,9.9012546,31.416926,1.95,1.272,393.75,890.126,1.0446,30.9554,2.7374,4.12,63.58,0.2062534
LiBaF3,17.2,2.8,10.8,40.2482,2.762,2.163,12.5743566,38.111246,1.782,1.032,322.848,797.684,1.2516,29.3684,1.8266,2.356,59.42188,0.2063674
LiBaI3,43.6,4.6,10.8,104.9882,1.97,1.95906,8.3914326,28.607546,2.088,1.488,522.87,1021.19,0.8856,43.244,3.773,6.856,70.0,0.208894
