Compound,type,st,a1,a2,a3,n1,n2,n3,Ecoh,BM,bandgap,formula
AX_NaClst_Li_F_None,AX,NaClst,Li,F,None,4,4,0,4.85336,67.75,8.8411,LiF
AX_NaClst_Li_Cl_None,AX,NaClst,Li,Cl,None,4,4,0,3.68734,32.65,6.2596,LiCl
AX_NaClst_Li_Br_None,AX,NaClst,Li,Br,None,4,4,0,3.31461,25.2,4.9159,LiBr
AX_NaClst_Li_I_None,AX,NaClst,Li,I,None,4,4,0,2.91146,18.3,4.2552,LiI
AX_NaClst_Na_F_None,AX,NaClst,Na,F,None,4,4,0,4.37699,54.95,6.3249,NaF
AX_NaClst_Na_Cl_None,AX,NaClst,Na,Cl,None,4,4,0,3.40812,23.9,5.0788,NaCl
AX_NaClst_Na_Br_None,AX,NaClst,Na,Br,None,4,4,0,3.07155,34.8,4.1102,NaBr
AX_NaClst_Na_I_None,AX,NaClst,Na,I,None,4,4,0,2.70337,6.05,3.5998,NaI
AX_NaClst_K_F_None,AX,NaClst,K,F,None,4,4,0,4.21597,26.7,5.9584,KF
AX_NaClst_K_Cl_None,AX,NaClst,K,Cl,None,4,4,0,3.43094,14.9,5.047,KCl
AX_NaClst_K_Br_None,AX,NaClst,K,Br,None,4,4,0,3.13608,5.85,4.31,KBr
AX_NaClst_K_I_None,AX,NaClst,K,I,None,4,4,0,2.80819,5.9,3.8379,KI
AX_NaClst_Rb_F_None,AX,NaClst,Rb,F,None,4,4,0,4.08954,26.7,5.5255,RbF
AX_NaClst_Rb_Cl_None,AX,NaClst,Rb,Cl,None,4,4,0,3.35253,15.6,4.8453,RbCl
AX_NaClst_Rb_Br_None,AX,NaClst,Rb,Br,None,4,4,0,3.07161,7.55,4.161,RbBr
AX_NaClst_Rb_I_None,AX,NaClst,Rb,I,None,4,4,0,2.75905,14.4,3.7579,RbI
AX_NaClst_Cs_F_None,AX,NaClst,Cs,F,None,4,4,0,4.0149,14.85,5.2551,CsF
AX_NaClst_Cs_Cl_None,AX,NaClst,Cs,Cl,None,4,4,0,3.32028,11.7,4.8194,CsCl
AX_NaClst_Cs_I_None,AX,NaClst,Cs,I,None,4,4,0,2.75643,14.05,3.8713,CsI
AX_NaClst_Be_O_None,AX,NaClst,Be,O,None,4,4,0,6.63017,229.5,8.2761,BeO
AX_NaClst_Be_S_None,AX,NaClst,Be,S,None,4,4,0,4.4423,98.4,1.2843,BeS
AX_NaClst_Be_Se_None,AX,NaClst,Be,Se,None,4,4,0,3.87269,88.35,0.385,BeSe
AX_NaClst_Be_Te_None,AX,NaClst,Be,Te,None,4,4,0,3.29652,134.25,0.6799,BeTe
AX_NaClst_Mg_O_None,AX,NaClst,Mg,O,None,4,4,0,5.98282,135,4.5169,MgO
AX_NaClst_Mg_S_None,AX,NaClst,Mg,S,None,4,4,0,4.27022,69.2,2.7388,MgS
AX_NaClst_Mg_Se_None,AX,NaClst,Mg,Se,None,4,4,0,3.75736,78.1,1.7425,MgSe
AX_NaClst_Mg_Te_None,AX,NaClst,Mg,Te,None,4,4,0,3.15401,61,0.4226,MgTe
AX_NaClst_Ca_O_None,AX,NaClst,Ca,O,None,4,4,0,6.43933,107.15,3.6341,CaO
AX_NaClst_Ca_S_None,AX,NaClst,Ca,S,None,4,4,0,5.21926,52.1,2.3783,CaS
AX_NaClst_Ca_Se_None,AX,NaClst,Ca,Se,None,4,4,0,4.77328,43.9,2.0725,CaSe
AX_NaClst_Ca_Te_None,AX,NaClst,Ca,Te,None,4,4,0,4.2226,14.5,1.5638,CaTe
AX_NaClst_Sr_O_None,AX,NaClst,Sr,O,None,4,4,0,6.05225,82.05,3.2761,SrO
AX_NaClst_Sr_S_None,AX,NaClst,Sr,S,None,4,4,0,5.0567,48.85,2.4984,SrS
AX_NaClst_Sr_Se_None,AX,NaClst,Sr,Se,None,4,4,0,4.65533,39.95,2.2322,SrSe
AX_NaClst_Sr_Te_None,AX,NaClst,Sr,Te,None,4,4,0,4.1618,69.3,1.7697,SrTe
AX_NaClst_Ba_O_None,AX,NaClst,Ba,O,None,4,4,0,5.91386,69.75,2.0959,BaO
AX_NaClst_Ba_S_None,AX,NaClst,Ba,S,None,4,4,0,5.1063,47.35,2.1457,BaS
AX_NaClst_Ba_Se_None,AX,NaClst,Ba,Se,None,4,4,0,4.75515,34.25,1.947,BaSe
AX_NaClst_Zn_O_None,AX,NaClst,Zn,O,None,4,4,0,4.40352,174.3,1.9519,ZnO
AX_NaClst_Zn_S_None,AX,NaClst,Zn,S,None,4,4,0,3.19282,95.45,0.2947,ZnS
AX_NaClst_Zn_Se_None,AX,NaClst,Zn,Se,None,4,4,0,2.78576,72.05,0.5309,ZnSe
AX_NaClst_Zn_Te_None,AX,NaClst,Zn,Te,None,4,4,0,2.37828,87.5,1.5328,ZnTe
AX_NaClst_Cd_O_None,AX,NaClst,Cd,O,None,4,4,0,3.95584,140.6,0.6312,CdO
AX_NaClst_Cd_S_None,AX,NaClst,Cd,S,None,4,4,0,3.02794,67.25,0.9785,CdS
AX_NaClst_Cd_Se_None,AX,NaClst,Cd,Se,None,4,4,0,2.68274,59.8,0.1791,CdSe
AX_NaClst_Hg_O_None,AX,NaClst,Hg,O,None,4,4,0,2.7707,117.85,0,HgO
AX_NaClst_Hg_S_None,AX,NaClst,Hg,S,None,4,4,0,2.16555,64.6,0.3929,HgS
AX_NaClst_Hg_Se_None,AX,NaClst,Hg,Se,None,4,4,0,1.94382,50.95,0.717,HgSe
AX_NaClst_Hg_Te_None,AX,NaClst,Hg,Te,None,4,4,0,1.73855,71.55,1.2177,HgTe
AX_NaClst_Al_N_None,AX,NaClst,Al,N,None,4,4,0,7.27217,246.65,4.4247,AlN
AX_NaClst_Al_P_None,AX,NaClst,Al,P,None,4,4,0,4.89495,105.5,1.7669,AlP
AX_NaClst_Al_As_None,AX,NaClst,Al,As,None,4,4,0,4.40669,81.25,2.2489,AlAs
AX_NaClst_Al_Sb_None,AX,NaClst,Al,Sb,None,4,4,0,3.88602,35,2.5765,AlSb
AX_NaClst_Ga_N_None,AX,NaClst,Ga,N,None,4,4,0,5.67975,230.9,0.8671,GaN
AX_NaClst_Ga_P_None,AX,NaClst,Ga,P,None,4,4,0,4.17268,98.25,2.6315,GaP
AX_NaClst_Ga_As_None,AX,NaClst,Ga,As,None,4,4,0,3.8216,70.3,2.4333,GaAs
AX_NaClst_In_N_None,AX,NaClst,In,N,None,4,4,0,5.17904,175.35,0.4312,InN
AX_NaClst_In_P_None,AX,NaClst,In,P,None,4,4,0,3.95497,81.1,2.013,InP
AX_NaClst_In_As_None,AX,NaClst,In,As,None,4,4,0,3.65734,84.95,1.5693,InAs
AX_NaClst_In_Sb_None,AX,NaClst,In,Sb,None,4,4,0,3.32074,28.95,1.6143,InSb
AX_NaClst_Sc_N_None,AX,NaClst,Sc,N,None,4,4,0,9.24696,198.9,0.0386,ScN
AX_NaClst_Sc_P_None,AX,NaClst,Sc,P,None,4,4,0,7.36233,91.25,1.4147,ScP
AX_NaClst_Sc_As_None,AX,NaClst,Sc,As,None,4,4,0,6.86845,91,1.4215,ScAs
AX_NaClst_Sc_Sb_None,AX,NaClst,Sc,Sb,None,4,4,0,6.16654,77.9,1.233,ScSb
AX_NaClst_Y_N_None,AX,NaClst,Y,N,None,4,4,0,9.089,158,0.1463,YN
AX_NaClst_Y_P_None,AX,NaClst,Y,P,None,4,4,0,7.56535,87.25,0.8593,YP
AX_NaClst_Y_As_None,AX,NaClst,Y,As,None,4,4,0,7.11319,67.2,0.9122,YAs
AX_NaClst_Y_Sb_None,AX,NaClst,Y,Sb,None,4,4,0,6.45972,68.85,1.1426,YSb
AX_NaClst_La_N_None,AX,NaClst,La,N,None,4,4,0,7.94349,120.9,0.0353,LaN
AX_NaClst_La_P_None,AX,NaClst,La,P,None,4,4,0,6.74625,73.95,0.133,LaP
AX_NaClst_La_As_None,AX,NaClst,La,As,None,4,4,0,6.36488,69.35,0.1804,LaAs
AX_NaClst_La_Sb_None,AX,NaClst,La,Sb,None,4,4,0,5.80266,60.1,0.3787,LaSb
AX_CsClst_Li_F_None,AX,CsClst,Li,F,None,1,1,0,4.55859,70.65,8.2054,LiF
AX_CsClst_Li_Cl_None,AX,CsClst,Li,Cl,None,1,1,0,3.4058,35.2,5.2011,LiCl
AX_CsClst_Li_Br_None,AX,CsClst,Li,Br,None,1,1,0,3.04457,75.65,3.8904,LiBr
AX_CsClst_Li_I_None,AX,CsClst,Li,I,None,1,1,0,2.63287,32.1,3.1829,LiI
AX_CsClst_Na_F_None,AX,CsClst,Na,F,None,1,1,0,4.20858,43.75,6.2067,NaF
AX_CsClst_Na_Cl_None,AX,CsClst,Na,Cl,None,1,1,0,3.2466,26.9,4.5302,NaCl
AX_CsClst_Na_Br_None,AX,CsClst,Na,Br,None,1,1,0,2.91546,5.15,3.5229,NaBr
AX_CsClst_Na_I_None,AX,CsClst,Na,I,None,1,1,0,2.54184,20.7,2.9206,NaI
AX_CsClst_K_F_None,AX,CsClst,K,F,None,1,1,0,4.11323,34.7,6.3268,KF
AX_CsClst_K_Cl_None,AX,CsClst,K,Cl,None,1,1,0,3.35313,16.05,5.0124,KCl
AX_CsClst_K_Br_None,AX,CsClst,K,Br,None,1,1,0,3.06396,35,4.125,KBr
AX_CsClst_K_I_None,AX,CsClst,K,I,None,1,1,0,2.73912,7.85,3.5793,KI
AX_CsClst_Rb_F_None,AX,CsClst,Rb,F,None,1,1,0,3.99023,30.2,5.9074,RbF
AX_CsClst_Rb_Cl_None,AX,CsClst,Rb,Cl,None,1,1,0,3.29125,16,4.8574,RbCl
AX_CsClst_Rb_Br_None,AX,CsClst,Rb,Br,None,1,1,0,3.01606,23.5,4.0872,RbBr
AX_CsClst_Rb_I_None,AX,CsClst,Rb,I,None,1,1,0,2.70895,6.1,3.5663,RbI
AX_CsClst_Cs_F_None,AX,CsClst,Cs,F,None,1,1,0,3.90654,28.8,5.9022,CsF
AX_CsClst_Cs_Cl_None,AX,CsClst,Cs,Cl,None,1,1,0,3.27235,12.05,4.9713,CsCl
AX_CsClst_Cs_Br_None,AX,CsClst,Cs,Br,None,1,1,0,3.01197,8.2,4.2757,CsBr
AX_CsClst_Cs_I_None,AX,CsClst,Cs,I,None,1,1,0,2.72388,8.1,3.7852,CsI
AX_CsClst_Be_O_None,AX,CsClst,Be,O,None,1,1,0,5.40649,205.3,4.8149,BeO
AX_CsClst_Be_S_None,AX,CsClst,Be,S,None,1,1,0,3.49063,105.45,3.4395,BeS
AX_CsClst_Be_Se_None,AX,CsClst,Be,Se,None,1,1,0,3.07085,84.65,2.0944,BeSe
AX_CsClst_Be_Te_None,AX,CsClst,Be,Te,None,1,1,0,2.68639,124.55,1.8119,BeTe
AX_CsClst_Mg_O_None,AX,CsClst,Mg,O,None,1,1,0,5.22219,136.35,3.2995,MgO
AX_CsClst_Mg_S_None,AX,CsClst,Mg,S,None,1,1,0,3.64453,73.15,2.074,MgS
AX_CsClst_Mg_Se_None,AX,CsClst,Mg,Se,None,1,1,0,3.19193,60.8,1.1195,MgSe
AX_CsClst_Mg_Te_None,AX,CsClst,Mg,Te,None,1,1,0,2.6822,84.65,1.1686,MgTe
AX_CsClst_Ca_O_None,AX,CsClst,Ca,O,None,1,1,0,5.94986,107.7,3.0696,CaO
AX_CsClst_Ca_S_None,AX,CsClst,Ca,S,None,1,1,0,4.84763,61.95,2.2012,CaS
AX_CsClst_Ca_Se_None,AX,CsClst,Ca,Se,None,1,1,0,4.4322,55.5,1.9712,CaSe
AX_CsClst_Ca_Te_None,AX,CsClst,Ca,Te,None,1,1,0,3.91304,51.9,1.6039,CaTe
AX_CsClst_Sr_O_None,AX,CsClst,Sr,O,None,1,1,0,5.63699,85.5,2.8269,SrO
AX_CsClst_Sr_S_None,AX,CsClst,Sr,S,None,1,1,0,4.75745,49.65,2.2179,SrS
AX_CsClst_Sr_Se_None,AX,CsClst,Sr,Se,None,1,1,0,4.38116,40.85,2.007,SrSe
AX_CsClst_Ba_O_None,AX,CsClst,Ba,O,None,1,1,0,5.56952,77.85,1.7141,BaO
AX_CsClst_Ba_S_None,AX,CsClst,Ba,S,None,1,1,0,4.88691,51.1,1.5922,BaS
AX_CsClst_Ba_Se_None,AX,CsClst,Ba,Se,None,1,1,0,4.55453,37.6,1.4272,BaSe
AX_CsClst_Zn_O_None,AX,CsClst,Zn,O,None,1,1,0,3.83379,181.45,0.3279,ZnO
AX_CsClst_Zn_S_None,AX,CsClst,Zn,S,None,1,1,0,2.54991,71.8,0.6726,ZnS
AX_CsClst_Zn_Se_None,AX,CsClst,Zn,Se,None,1,1,0,2.24803,64.45,0,ZnSe
AX_CsClst_Zn_Te_None,AX,CsClst,Zn,Te,None,1,1,0,2.00089,52.55,0,ZnTe
AX_CsClst_Cd_O_None,AX,CsClst,Cd,O,None,1,1,0,3.56011,114.7,0,CdO
AX_CsClst_Cd_S_None,AX,CsClst,Cd,S,None,1,1,0,2.52176,77.35,0.1364,CdS
AX_CsClst_Cd_Se_None,AX,CsClst,Cd,Se,None,1,1,0,2.23434,56.8,0,CdSe
AX_CsClst_Cd_Te_None,AX,CsClst,Cd,Te,None,1,1,0,1.95111,74.15,0,CdTe
AX_CsClst_Hg_O_None,AX,CsClst,Hg,O,None,1,1,0,2.45619,125.2,0,HgO
AX_CsClst_Hg_S_None,AX,CsClst,Hg,S,None,1,1,0,1.70135,55.8,0,HgS
AX_CsClst_Hg_Se_None,AX,CsClst,Hg,Se,None,1,1,0,1.54412,46.85,0,HgSe
AX_CsClst_Hg_Te_None,AX,CsClst,Hg,Te,None,1,1,0,1.47819,66.3,0,HgTe
AX_CsClst_Al_N_None,AX,CsClst,Al,N,None,1,1,0,5.71478,185.65,2.2756,AlN
AX_CsClst_Al_P_None,AX,CsClst,Al,P,None,1,1,0,4.44587,94.15,1.7997,AlP
AX_CsClst_Al_As_None,AX,CsClst,Al,As,None,1,1,0,4.06826,85.85,0.1573,AlAs
AX_CsClst_Al_Sb_None,AX,CsClst,Al,Sb,None,1,1,0,3.71085,84.5,0.0588,AlSb
AX_CsClst_Ga_N_None,AX,CsClst,Ga,N,None,1,1,0,4.54189,172.6,0,GaN
AX_CsClst_Ga_P_None,AX,CsClst,Ga,P,None,1,1,0,3.84318,91.95,0,GaP
AX_CsClst_Ga_As_None,AX,CsClst,Ga,As,None,1,1,0,3.6171,57.55,0,GaAs
AX_CsClst_Ga_Sb_None,AX,CsClst,Ga,Sb,None,1,1,0,3.39326,50.4,0,GaSb
AX_CsClst_In_N_None,AX,CsClst,In,N,None,1,1,0,4.29,118.95,0,InN
AX_CsClst_In_P_None,AX,CsClst,In,P,None,1,1,0,3.61521,52.4,0,InP
AX_CsClst_In_As_None,AX,CsClst,In,As,None,1,1,0,3.44433,61.25,0,InAs
AX_CsClst_In_Sb_None,AX,CsClst,In,Sb,None,1,1,0,3.24616,65.95,0,InSb
AX_CsClst_Sc_N_None,AX,CsClst,Sc,N,None,1,1,0,8.21502,180.15,0,ScN
AX_CsClst_Sc_P_None,AX,CsClst,Sc,P,None,1,1,0,6.79734,105.4,0,ScP
AX_CsClst_Sc_As_None,AX,CsClst,Sc,As,None,1,1,0,6.37964,86.6,0,ScAs
AX_CsClst_Sc_Sb_None,AX,CsClst,Sc,Sb,None,1,1,0,5.83616,51.4,0,ScSb
AX_CsClst_Y_N_None,AX,CsClst,Y,N,None,1,1,0,8.15213,148.3,0,YN
AX_CsClst_Y_P_None,AX,CsClst,Y,P,None,1,1,0,6.99982,79.55,0,YP
AX_CsClst_Y_As_None,AX,CsClst,Y,As,None,1,1,0,6.61348,78.9,0,YAs
AX_CsClst_Y_Sb_None,AX,CsClst,Y,Sb,None,1,1,0,6.11149,85.65,0,YSb
AX_CsClst_La_N_None,AX,CsClst,La,N,None,1,1,0,7.36158,123.85,0,LaN
AX_CsClst_La_P_None,AX,CsClst,La,P,None,1,1,0,6.36916,71.2,0,LaP
AX_CsClst_La_As_None,AX,CsClst,La,As,None,1,1,0,6.00822,68.95,0,LaAs
AX_CsClst_La_Sb_None,AX,CsClst,La,Sb,None,1,1,0,5.53845,65.55,0,LaSb
AX_ZnSst_Li_F_None,AX,ZnSst,Li,F,None,4,4,0,4.84815,60.75,7.669,LiF
AX_ZnSst_Li_Cl_None,AX,ZnSst,Li,Cl,None,4,4,0,3.70768,27.5,5.9513,LiCl
AX_ZnSst_Li_Br_None,AX,ZnSst,Li,Br,None,4,4,0,3.33886,14.55,4.9584,LiBr
AX_ZnSst_Li_I_None,AX,ZnSst,Li,I,None,4,4,0,2.94865,25.85,4.3435,LiI
AX_ZnSst_Na_F_None,AX,ZnSst,Na,F,None,4,4,0,4.28868,29.75,5.5867,NaF
AX_ZnSst_Na_Cl_None,AX,ZnSst,Na,Cl,None,4,4,0,3.34056,18.1,4.9022,NaCl
AX_ZnSst_Na_Br_None,AX,ZnSst,Na,Br,None,4,4,0,3.01053,9.15,4.197,NaBr
AX_ZnSst_Na_I_None,AX,ZnSst,Na,I,None,4,4,0,2.65592,14.4,3.7813,NaI
AX_ZnSst_K_F_None,AX,ZnSst,K,F,None,4,4,0,4.13098,19,5.0532,KF
AX_ZnSst_K_Cl_None,AX,ZnSst,K,Cl,None,4,4,0,3.33621,10.6,4.7326,KCl
AX_ZnSst_K_Br_None,AX,ZnSst,K,Br,None,4,4,0,3.04335,15.65,4.2417,KBr
AX_ZnSst_K_I_None,AX,ZnSst,K,I,None,4,4,0,2.72019,7,3.8882,KI
AX_ZnSst_Rb_F_None,AX,ZnSst,Rb,F,None,4,4,0,4.01638,17.7,4.6769,RbF
AX_ZnSst_Rb_Cl_None,AX,ZnSst,Rb,Cl,None,4,4,0,3.25909,10.25,4.4614,RbCl
AX_ZnSst_Rb_Br_None,AX,ZnSst,Rb,Br,None,4,4,0,2.97718,14.05,4.0731,RbBr
AX_ZnSst_Rb_I_None,AX,ZnSst,Rb,I,None,4,4,0,2.66783,12.75,3.7823,RbI
AX_ZnSst_Cs_F_None,AX,ZnSst,Cs,F,None,4,4,0,3.96911,18.15,4.569,CsF
AX_ZnSst_Cs_Cl_None,AX,ZnSst,Cs,Cl,None,4,4,0,3.23539,9.5,4.3234,CsCl
AX_ZnSst_Cs_Br_None,AX,ZnSst,Cs,Br,None,4,4,0,2.96405,5.85,3.9707,CsBr
AX_ZnSst_Cs_I_None,AX,ZnSst,Cs,I,None,4,4,0,2.66675,9,3.7135,CsI
AX_ZnSst_Be_O_None,AX,ZnSst,Be,O,None,4,4,0,7.10307,219.75,6.843,BeO
AX_ZnSst_Be_S_None,AX,ZnSst,Be,S,None,4,4,0,5.00122,86.25,3.1497,BeS
AX_ZnSst_Be_Se_None,AX,ZnSst,Be,Se,None,4,4,0,4.4175,71.35,2.6705,BeSe
AX_ZnSst_Be_Te_None,AX,ZnSst,Be,Te,None,4,4,0,3.80716,53.6,1.9991,BeTe
AX_ZnSst_Mg_O_None,AX,ZnSst,Mg,O,None,4,4,0,5.88154,141.3,3.5383,MgO
AX_ZnSst_Mg_S_None,AX,ZnSst,Mg,S,None,4,4,0,4.25939,67.7,3.4074,MgS
AX_ZnSst_Mg_Se_None,AX,ZnSst,Mg,Se,None,4,4,0,3.77503,45.8,2.5568,MgSe
AX_ZnSst_Mg_Te_None,AX,ZnSst,Mg,Te,None,4,4,0,3.22119,31.15,2.339,MgTe
AX_ZnSst_Ca_O_None,AX,ZnSst,Ca,O,None,4,4,0,6.25865,77.75,3.2508,CaO
AX_ZnSst_Ca_S_None,AX,ZnSst,Ca,S,None,4,4,0,4.95512,39.75,3.6324,CaS
AX_ZnSst_Ca_Se_None,AX,ZnSst,Ca,Se,None,4,4,0,4.51509,37.35,3.2036,CaSe
AX_ZnSst_Ca_Te_None,AX,ZnSst,Ca,Te,None,4,4,0,3.98034,43.05,3.1019,CaTe
AX_ZnSst_Sr_O_None,AX,ZnSst,Sr,O,None,4,4,0,5.90825,63.1,2.481,SrO
AX_ZnSst_Sr_S_None,AX,ZnSst,Sr,S,None,4,4,0,4.78663,34.3,3.028,SrS
AX_ZnSst_Sr_Se_None,AX,ZnSst,Sr,Se,None,4,4,0,4.38124,32.25,2.7113,SrSe
AX_ZnSst_Sr_Te_None,AX,ZnSst,Sr,Te,None,4,4,0,3.88542,40.5,2.7088,SrTe
AX_ZnSst_Ba_O_None,AX,ZnSst,Ba,O,None,4,4,0,5.86827,49.05,2.2734,BaO
AX_ZnSst_Ba_S_None,AX,ZnSst,Ba,S,None,4,4,0,4.87691,27.2,2.7533,BaS
AX_ZnSst_Ba_Se_None,AX,ZnSst,Ba,Se,None,4,4,0,4.50726,20.1,2.5156,BaSe
AX_ZnSst_Ba_Te_None,AX,ZnSst,Ba,Te,None,4,4,0,4.05436,26.45,2.5686,BaTe
AX_ZnSst_Zn_O_None,AX,ZnSst,Zn,O,None,4,4,0,4.54289,119.5,0.6263,ZnO
AX_ZnSst_Zn_S_None,AX,ZnSst,Zn,S,None,4,4,0,3.50905,77.55,2.013,ZnS
AX_ZnSst_Zn_Se_None,AX,ZnSst,Zn,Se,None,4,4,0,3.09205,50.4,1.1791,ZnSe
AX_ZnSst_Zn_Te_None,AX,ZnSst,Zn,Te,None,4,4,0,2.67595,27.95,1.0927,ZnTe
AX_ZnSst_Cd_O_None,AX,ZnSst,Cd,O,None,4,4,0,3.93734,78.4,0,CdO
AX_ZnSst_Cd_S_None,AX,ZnSst,Cd,S,None,4,4,0,3.15983,42.1,1.0458,CdS
AX_ZnSst_Cd_Se_None,AX,ZnSst,Cd,Se,None,4,4,0,2.8293,39.8,0.51,CdSe
AX_ZnSst_Cd_Te_None,AX,ZnSst,Cd,Te,None,4,4,0,2.48949,39.85,0.6038,CdTe
AX_ZnSst_Hg_O_None,AX,ZnSst,Hg,O,None,4,4,0,2.8138,89.8,0,HgO
AX_ZnSst_Hg_S_None,AX,ZnSst,Hg,S,None,4,4,0,2.34844,54.3,0,HgS
AX_ZnSst_Hg_Se_None,AX,ZnSst,Hg,Se,None,4,4,0,2.10689,49.6,0,HgSe
AX_ZnSst_Hg_Te_None,AX,ZnSst,Hg,Te,None,4,4,0,1.89087,16.4,0,HgTe
AX_ZnSst_Al_N_None,AX,ZnSst,Al,N,None,4,4,0,7.42322,199.4,3.3052,AlN
AX_ZnSst_Al_P_None,AX,ZnSst,Al,P,None,4,4,0,5.1887,76.8,1.6329,AlP
AX_ZnSst_Al_As_None,AX,ZnSst,Al,As,None,4,4,0,4.68656,65.65,1.4992,AlAs
AX_ZnSst_Al_Sb_None,AX,ZnSst,Al,Sb,None,4,4,0,4.10099,62.5,1.279,AlSb
AX_ZnSst_Ga_N_None,AX,ZnSst,Ga,N,None,4,4,0,6.07826,174.05,1.4609,GaN
AX_ZnSst_Ga_P_None,AX,ZnSst,Ga,P,None,4,4,0,4.55471,92.25,1.542,GaP
AX_ZnSst_Ga_As_None,AX,ZnSst,Ga,As,None,4,4,0,4.13699,62.05,0.1642,GaAs
AX_ZnSst_Ga_Sb_None,AX,ZnSst,Ga,Sb,None,4,4,0,3.68453,59.2,0,GaSb
AX_ZnSst_In_N_None,AX,ZnSst,In,N,None,4,4,0,5.31179,102.8,0,InN
AX_ZnSst_In_P_None,AX,ZnSst,In,P,None,4,4,0,4.17453,65,0.3863,InP
AX_ZnSst_In_As_None,AX,ZnSst,In,As,None,4,4,0,3.84325,47.4,0,InAs
AX_ZnSst_In_Sb_None,AX,ZnSst,In,Sb,None,4,4,0,3.46069,22.05,0,InSb
AX_ZnSst_Sc_N_None,AX,ZnSst,Sc,N,None,4,4,0,8.94295,140.85,2.4713,ScN
AX_ZnSst_Sc_P_None,AX,ZnSst,Sc,P,None,4,4,0,6.83126,59.15,1.6163,ScP
AX_ZnSst_Sc_As_None,AX,ZnSst,Sc,As,None,4,4,0,6.36846,53.1,1.5654,ScAs
AX_ZnSst_Sc_Sb_None,AX,ZnSst,Sc,Sb,None,4,4,0,5.67321,51.55,1.4025,ScSb
AX_ZnSst_Y_N_None,AX,ZnSst,Y,N,None,4,4,0,8.8407,108.95,2.1032,YN
AX_ZnSst_Y_P_None,AX,ZnSst,Y,P,None,4,4,0,7.02425,56.85,1.6388,YP
AX_ZnSst_Y_As_None,AX,ZnSst,Y,As,None,4,4,0,6.58219,46.45,1.5831,YAs
AX_ZnSst_Y_Sb_None,AX,ZnSst,Y,Sb,None,4,4,0,5.91972,63.45,1.4617,YSb
AX_ZnSst_La_N_None,AX,ZnSst,La,N,None,4,4,0,7.90058,85.75,1.1936,LaN
AX_ZnSst_La_P_None,AX,ZnSst,La,P,None,4,4,0,6.28516,48.4,1.6316,LaP
AX_ZnSst_La_As_None,AX,ZnSst,La,As,None,4,4,0,5.87736,40.2,1.5405,LaAs
AX_ZnSst_La_Sb_None,AX,ZnSst,La,Sb,None,4,4,0,5.25872,38.45,1.3922,LaSb
AX_ZnOst_Li_F_None,AX,ZnOst,Li,F,None,2,2,0,4.85883,52.4,7.5649,LiF
AX_ZnOst_Li_Cl_None,AX,ZnOst,Li,Cl,None,2,2,0,3.71187,22.8,5.926,LiCl
AX_ZnOst_Li_Br_None,AX,ZnOst,Li,Br,None,2,2,0,3.34294,31.1,4.9049,LiBr
AX_ZnOst_Li_I_None,AX,ZnOst,Li,I,None,2,2,0,2.94934,14.1,4.3404,LiI
AX_ZnOst_Na_F_None,AX,ZnOst,Na,F,None,2,2,0,4.34097,36.8,5.6297,NaF
AX_ZnOst_Na_Cl_None,AX,ZnOst,Na,Cl,None,2,2,0,3.34878,18.75,4.8385,NaCl
AX_ZnOst_Na_Br_None,AX,ZnOst,Na,Br,None,2,2,0,3.01881,21.85,4.0909,NaBr
AX_ZnOst_Na_I_None,AX,ZnOst,Na,I,None,2,2,0,2.66053,15,3.7501,NaI
AX_ZnOst_K_F_None,AX,ZnOst,K,F,None,2,2,0,4.18054,23.3,5.2388,KF
AX_ZnOst_K_Cl_None,AX,ZnOst,K,Cl,None,2,2,0,3.38977,12.65,4.706,KCl
AX_ZnOst_K_Br_None,AX,ZnOst,K,Br,None,2,2,0,3.09552,8.35,4.1431,KBr
AX_ZnOst_K_I_None,AX,ZnOst,K,I,None,2,2,0,2.72659,8.25,3.8578,KI
AX_ZnOst_Rb_F_None,AX,ZnOst,Rb,F,None,2,2,0,4.05863,21.4,4.857,RbF
AX_ZnOst_Rb_Cl_None,AX,ZnOst,Rb,Cl,None,2,2,0,3.31199,11.3,4.5159,RbCl
AX_ZnOst_Rb_Br_None,AX,ZnOst,Rb,Br,None,2,2,0,2.98426,5.95,4.1281,RbBr
AX_ZnOst_Rb_I_None,AX,ZnOst,Rb,I,None,2,2,0,2.67414,6.3,3.789,RbI
AX_ZnOst_Cs_F_None,AX,ZnOst,Cs,F,None,2,2,0,3.99563,17.4,4.588,CsF
AX_ZnOst_Cs_Cl_None,AX,ZnOst,Cs,Cl,None,2,2,0,3.28321,9.25,4.4782,CsCl
AX_ZnOst_Cs_Br_None,AX,ZnOst,Cs,Br,None,2,2,0,2.97094,10.05,4.1021,CsBr
AX_ZnOst_Cs_I_None,AX,ZnOst,Cs,I,None,2,2,0,2.67217,1.45,3.809,CsI
AX_ZnOst_Be_O_None,AX,ZnOst,Be,O,None,2,2,0,7.10978,207.1,7.4248,BeO
AX_ZnOst_Be_S_None,AX,ZnOst,Be,S,None,2,2,0,4.99511,89.6,5.0897,BeS
AX_ZnOst_Be_Se_None,AX,ZnOst,Be,Se,None,2,2,0,4.41088,74.35,3.9471,BeSe
AX_ZnOst_Be_Te_None,AX,ZnOst,Be,Te,None,2,2,0,3.80071,66.15,2.7336,BeTe
AX_ZnOst_Mg_O_None,AX,ZnOst,Mg,O,None,2,2,0,5.91482,120.7,3.4288,MgO
